TSI	UNIGE	NA20503.1.M	111124	5	ERS185497	ERX163094	ERR188297
TSI	UNIGE	NA20504.1.M	111124	7	ERS185242	ERX162972	ERR188088
TSI	UNIGE	NA20505.1.M	111124	6	ERS185048	ERX163009	ERR188329
TSI	UNIGE	NA20507.1.M	111124	7	ERS185412	ERX163158	ERR188288
TSI	UNIGE	NA20508.1.M	111124	2	ERS185362	ERX163159	ERR188021
TSI	UNIGE	NA20514.1.M	111124	4	ERS185217	ERX163062	ERR188356
TSI	UNIGE	NA20519.1.M	111124	5	ERS185167	ERX162948	ERR188145
TSI	UNIGE	NA20525.1.M	111124	1	ERS185212	ERX163022	ERR188347
TSI	UNIGE	NA20536.1.M	111124	1	ERS185156	ERX163042	ERR188382
TSI	UNIGE	NA20540.1.M	111124	2	ERS185349	ERX162940	ERR188436
TSI	UNIGE	NA20541.1.M	111124	4	ERS185125	ERX163043	ERR188052
TSI	UNIGE	NA20581.1.M	111124	4	ERS185181	ERX162937	ERR188402
TSI	UNIGE	NA20589.1.M	111124	3	ERS185057	ERX162793	ERR188343
TSI	UNIGE	NA20757.1.M	111124	1	ERS185169	ERX162732	ERR188295
TSI	UNIGE	NA20761.1.M	111124	7	ERS185420	ERX163049	ERR188479
TSI	CNAG	CRG	NA20524.2.M	111215	8	ERS185498	ERX162769	ERR188204
TSI	CNAG	CRG	NA20527.2.M	111215	7	ERS185082	ERX163033	ERR188317
TSI	CNAG	CRG	NA20529.2.M	111215	6	ERS185422	ERX162984	ERR188453
TSI	CNAG	CRG	NA20530.2.M	111215	6	ERS185442	ERX163025	ERR188258
TSI	CNAG	CRG	NA20534.2.M	111215	8	ERS185144	ERX162843	ERR188114
TSI	CNAG	CRG	NA20543.2.M	111215	5	ERS185134	ERX163170	ERR188334
TSI	CNAG	CRG	NA20586.2.M	111215	7	ERS185426	ERX162880	ERR188353
TSI	CNAG	CRG	NA20758.2.M	111215	8	ERS185342	ERX162819	ERR188276
TSI	CNAG	CRG	NA20765.2.M	111215	5	ERS185306	ERX162794	ERR188153
TSI	CNAG	CRG	NA20771.2.M	111215	7	ERS185108	ERX163165	ERR188345
TSI	CNAG	CRG	NA20786.2.M	111215	8	ERS185069	ERX162761	ERR188192
TSI	CNAG	CRG	NA20790.2.M	111215	6	ERS185378	ERX163152	ERR188155
TSI	CNAG	CRG	NA20797.2.M	111215	6	ERS185263	ERX162729	ERR188132
TSI	CNAG	CRG	NA20810.2.M	111215	7	ERS185427	ERX162968	ERR188408
TSI	CNAG	CRG	NA20814.2.M	111215	6	ERS185127	ERX163109	ERR188265
